date,portfolio_date,manager,stock,ticker,portfolio_percent,shares,recent_activity,reported_price,current_price,value
2025-06-23,2025-06-23,AKO Capital,Alcon Inc.,ALC,0,7115571,,8.73,94.52,
2025-06-23,2025-06-23,AKO Capital,Visa Inc.,V,0,1775973,,8.08,350.46,
2025-06-23,2025-06-23,AKO Capital,Flutter Entertainment Plc,FLUT,0,2590673,Buy,7.42,220.7,
2025-06-23,2025-06-23,AKO Capital,Marsh & McLennan,MMC,0,2121730,,6.72,244.03,
2025-06-23,2025-06-23,AKO Capital,GE Aerospace,GE,0,2466267,,6.4,200.15,
2025-06-23,2025-06-23,AKO Capital,Microsoft Corp.,MSFT,0,1250718,,6.09,375.39,
2025-06-23,2025-06-23,AKO Capital,Intercontinental Exchange Inc.,ICE,0,2282427,,5.11,172.5,
2025-06-23,2025-06-23,AKO Capital,Accenture,ACN,0,1238638,,5.01,312.04,
2025-06-23,2025-06-23,AKO Capital,Moody's Corp.,MCO,0,826734,,5.0,465.69,
2025-06-23,2025-06-23,AKO Capital,Intuit Inc.,INTU,0,555811,,4.43,613.99,
2025-06-23,2025-06-23,AKO Capital,Booking Holdings Inc.,BKNG,0,72052,,4.31,4606.91,
2025-06-23,2025-06-23,AKO Capital,Waters Corp.,WAT,0,887215,,4.24,368.57,
2025-06-23,2025-06-23,AKO Capital,Copart Inc.,CPRT,0,5081145,,3.73,56.59,
2025-06-23,2025-06-23,AKO Capital,Fair Isaac Corp.,FICO,0,150660,,3.6,1844.16,
2025-06-23,2025-06-23,AKO Capital,Amazon.com Inc.,AMZN,0,1437908,,3.55,190.26,
2025-06-23,2025-06-23,AKO Capital,Zoetis Inc.,ZTS,0,1523960,,3.26,164.65,
2025-06-23,2025-06-23,AKO Capital,Analog Devices,ADI,0,1243847,,3.25,201.67,
2025-06-23,2025-06-23,AKO Capital,Ferrari NV,RACE,0,585118,,3.23,424.99,
2025-06-23,2025-06-23,AKO Capital,Equifax Inc.,EFX,0,762905,,2.41,243.56,
2025-06-23,2025-06-23,AKO Capital,Thermo Fisher Scientific,TMO,0,332845,,2.15,497.6,
2025-06-23,2025-06-23,AKO Capital,Salesforce.com,CRM,0,359908,Buy,1.25,268.36,
2025-06-23,2025-06-23,AKO Capital,Illumina Inc.,ILMN,0,889714,,0.92,79.34,
2025-06-23,2025-06-23,AKO Capital,Linde plc,LIN,0,84991,,0.51,465.64,
2025-06-23,2025-06-23,AKO Capital,Cadence Design Systems,CDNS,0,137409,,0.45,254.33,
2025-06-23,2025-06-23,AKO Capital,Booz Allen Hamilton Hldg Corp.,BAH,0,93472,,0.13,104.58,
2025-06-23,2025-06-23,AKO Capital,Canadian Natl Railway Co.,CNI,0,19073,,0.02,97.47,
2025-06-23,2025-06-23,Alex Roepers - Atlantic Investment Management,Aptiv PLC,APTV,0,673971,,22.4,59.5,
2025-06-23,2025-06-23,Alex Roepers - Atlantic Investment Management,Weatherford International plc,WFRD,0,572809,,17.14,53.55,
2025-06-23,2025-06-23,Alex Roepers - Atlantic Investment Management,Chart Industries Inc.,GTLS,0,205399,,16.57,144.36,
2025-06-23,2025-06-23,Alex Roepers - Atlantic Investment Management,Oshkosh Corp.,OSK,0,235900,,12.4,94.08,
2025-06-23,2025-06-23,Alex Roepers - Atlantic Investment Management,Eastman Chemical,EMN,0,251583,Buy,12.38,88.11,
2025-06-23,2025-06-23,Alex Roepers - Atlantic Investment Management,Darling Ingredients Inc.,DAR,0,508550,,8.88,31.24,
2025-06-23,2025-06-23,Alex Roepers - Atlantic Investment Management,Ashland Global Holdings Inc.,ASH,0,125000,Buy,4.14,59.29,
2025-06-23,2025-06-23,Alex Roepers - Atlantic Investment Management,Terex Corp.,TEX,0,155000,,3.27,37.78,
2025-06-23,2025-06-23,Alex Roepers - Atlantic Investment Management,WESCO International Inc.,WCC,0,32500,,2.82,155.29,
2025-06-23,2025-06-23,AltaRock Partners,TransDigm Group Inc.,TDG,0,979950,,27.26,1383.29,
2025-06-23,2025-06-23,AltaRock Partners,Amazon.com Inc.,AMZN,0,5202415,,19.9,190.26,
2025-06-23,2025-06-23,AltaRock Partners,Microsoft Corp.,MSFT,0,2578649,,19.46,375.39,
2025-06-23,2025-06-23,AltaRock Partners,Alphabet Inc.,GOOGL,0,3454367,,10.74,154.64,
2025-06-23,2025-06-23,AltaRock Partners,Moody's Corp.,MCO,0,950905,,8.9,465.69,
2025-06-23,2025-06-23,AltaRock Partners,Mastercard Inc.,MA,0,586254,,6.46,548.12,
2025-06-23,2025-06-23,AltaRock Partners,Visa Inc.,V,0,850412,,5.99,350.46,
2025-06-23,2025-06-23,AltaRock Partners,Hilton Worldwide Holdings,HLT,0,273957,,1.25,227.55,
2025-06-23,2025-06-23,AltaRock Partners,Fair Isaac Corp.,FICO,0,0,,0.02,1844.78,
2025-06-23,2025-06-23,Bill & Melinda Gates Foundation Trust,Microsoft Corp.,MSFT,0,28457247,,25.55,375.39,
2025-06-23,2025-06-23,Bill & Melinda Gates Foundation Trust,Berkshire Hathaway CL B,BRK.B,0,17172435,,21.88,532.58,
2025-06-23,2025-06-23,Bill & Melinda Gates Foundation Trust,Waste Management Inc.,WM,0,32234344,,17.85,231.51,
2025-06-23,2025-06-23,Bill & Melinda Gates Foundation Trust,Canadian Natl Railway Co.,CNI,0,54826786,,12.78,97.46,
2025-06-23,2025-06-23,Bill & Melinda Gates Foundation Trust,Caterpillar Inc.,CAT,0,7353614,,5.8,329.8,
2025-06-23,2025-06-23,Bill & Melinda Gates Foundation Trust,Deere & Co.,DE,0,3557378,,3.99,469.35,
2025-06-23,2025-06-23,Bill & Melinda Gates Foundation Trust,Ecolab Inc.,ECL,0,5218044,,3.16,253.52,
2025-06-23,2025-06-23,Bill & Melinda Gates Foundation Trust,Walmart Inc.,WMT,0,9090477,,1.91,87.79,
2025-06-23,2025-06-23,Bill & Melinda Gates Foundation Trust,FedEx Corp.,FDX,0,2534362,,1.48,243.78,
2025-06-23,2025-06-23,Bill & Melinda Gates Foundation Trust,Coca-Cola FEMSA S A CV,KOF,0,6214719,,1.36,91.29,
2025-06-23,2025-06-23,Bill & Melinda Gates Foundation Trust,Waste Connections,WCN,0,2149175,,1.0,195.19,
2025-06-23,2025-06-23,Bill & Melinda Gates Foundation Trust,Coupang Inc.,CPNG,0,9248045,,0.49,21.93,
2025-06-23,2025-06-23,Bill & Melinda Gates Foundation Trust,Crown Castle International Corp.,CCI,0,1420072,,0.35,104.23,
2025-06-23,2025-06-23,Bill & Melinda Gates Foundation Trust,SCHRODINGER Inc.,SDGR,0,6981664,,0.33,19.74,
2025-06-23,2025-06-23,Bill & Melinda Gates Foundation Trust,Madison Square Garden Sports Corp.,MSGS,0,592406,,0.28,194.72,
2025-06-23,2025-06-23,Bill & Melinda Gates Foundation Trust,Anheuser-Busch InBev,BUD,0,1703000,,0.25,61.56,
2025-06-23,2025-06-23,Bill & Melinda Gates Foundation Trust,McDonald's Corp.,MCD,0,334900,,0.25,312.37,
2025-06-23,2025-06-23,Bill & Melinda Gates Foundation Trust,West Pharmaceutical Services,WST,0,444500,Buy,0.24,223.88,
2025-06-23,2025-06-23,Bill & Melinda Gates Foundation Trust,PACCAR Inc.,PCAR,0,1000000,,0.23,97.37,
2025-06-23,2025-06-23,Bill & Melinda Gates Foundation Trust,United Parcel Service,UPS,0,755089,,0.2,109.99,
2025-06-23,2025-06-23,Bill & Melinda Gates Foundation Trust,Kraft Heinz Co.,KHC,0,2622600,,0.19,30.43,
2025-06-23,2025-06-23,Bill & Melinda Gates Foundation Trust,Danaher Corp.,DHR,0,373000,,0.18,205.0,
2025-06-23,2025-06-23,Bill & Melinda Gates Foundation Trust,Hormel Foods Corp.,HRL,0,2195290,,0.16,30.94,
2025-06-23,2025-06-23,Bill & Melinda Gates Foundation Trust,On Holding AG,ONON,0,500000,,0.05,43.92,
2025-06-23,2025-06-23,Bill & Melinda Gates Foundation Trust,Veralto Corp.,VLTO,0,124333,,0.03,97.45,
2025-06-23,2025-06-23,Bill Ackman - Pershing Square Capital Management,Uber Technologies Inc.,UBER,0,30301161,Buy,18.5,72.86,
2025-06-23,2025-06-23,Bill Ackman - Pershing Square Capital Management,Brookfield Corp.,BN,0,41004657,,18.01,52.41,
2025-06-23,2025-06-23,Bill Ackman - Pershing Square Capital Management,Restaurant Brands International,QSR,0,23000914,,12.85,66.64,
2025-06-23,2025-06-23,Bill Ackman - Pershing Square Capital Management,Howard Hughes Holdings Inc.,HHH,0,18852064,,11.71,74.08,
2025-06-23,2025-06-23,Bill Ackman - Pershing Square Capital Management,Chipotle Mexican Grill Inc.,CMG,0,21541177,,9.07,50.21,
2025-06-23,2025-06-23,Bill Ackman - Pershing Square Capital Management,Canadian Pacific Kansas City,CP,0,14799796,,8.71,70.21,
2025-06-23,2025-06-23,Bill Ackman - Pershing Square Capital Management,Alphabet Inc. CL C,GOOG,0,6324031,,8.28,156.23,
2025-06-23,2025-06-23,Bill Ackman - Pershing Square Capital Management,Alphabet Inc.,GOOGL,0,4437980,,5.75,154.64,
2025-06-23,2025-06-23,Bill Ackman - Pershing Square Capital Management,Hilton Worldwide Holdings,HLT,0,3000770,,5.72,227.55,
2025-06-23,2025-06-23,Bill Ackman - Pershing Square Capital Management,Seaport Entertainment Group,SEG,0,5023780,,0.9,21.47,
2025-06-23,2025-06-23,Bill Ackman - Pershing Square Capital Management,Hertz Global Hldgs Inc.,HTZ,0,15000000,,0.5,3.94,
2025-06-23,2025-06-23,Bill Miller - Miller Value Partners,Lincoln National,LNC,0,519255,,8.5,35.91,
2025-06-23,2025-06-23,Bill Miller - Miller Value Partners,Nabors Industries Ltd.,NBR,0,388745,,7.39,41.71,
2025-06-23,2025-06-23,Bill Miller - Miller Value Partners,Bread Financial Holdings Inc.,BFH,0,309825,,7.07,50.08,
2025-06-23,2025-06-23,Bill Miller - Miller Value Partners,Gray Television Inc.,GTN,0,3577790,,7.04,4.32,
2025-06-23,2025-06-23,Bill Miller - Miller Value Partners,Quad/Graphics Inc.,QUAD,0,2574225,,6.39,5.45,
2025-06-23,2025-06-23,Bill Miller - Miller Value Partners,Jackson Financial Inc.,JXN,0,120950,,4.62,83.78,
2025-06-23,2025-06-23,Bill Miller - Miller Value Partners,UGI Corp.,UGI,0,292000,,4.4,33.07,
2025-06-23,2025-06-23,Bill Miller - Miller Value Partners,Verizon Communications,VZ,0,198000,Buy,4.09,45.36,
2025-06-23,2025-06-23,Bill Miller - Miller Value Partners,Gannett Co.,GCI,0,2712815,,3.57,2.89,
2025-06-23,2025-06-23,Bill Miller - Miller Value Partners,CTO Realty Growth Inc.,CTO,0,383900,,3.38,19.31,
2025-06-23,2025-06-23,Bill Miller - Miller Value Partners,OneMain Holdings,OMF,0,149000,,3.32,48.88,
2025-06-23,2025-06-23,Bill Miller - Miller Value Partners,Bristol-Myers Squibb,BMY,0,108000,,3.0,60.99,
2025-06-23,2025-06-23,Bill Miller - Miller Value Partners,Western Alliance Bancorp,WAL,0,83455,,2.92,76.83,
2025-06-23,2025-06-23,Bill Miller - Miller Value Partners,Chord Energy,CHRD,0,52766,,2.71,112.72,
2025-06-23,2025-06-23,Bill Miller - Miller Value Partners,Viatris Inc.,VTRS,0,619000,,2.46,8.71,
2025-06-23,2025-06-23,Bill Miller - Miller Value Partners,United Natural Foods,UNFI,0,188955,,2.36,27.39,
2025-06-23,2025-06-23,Bill Miller - Miller Value Partners,Conduent Inc.,CNDT,0,1875380,,2.31,2.7,
2025-06-23,2025-06-23,Bill Miller - Miller Value Partners,JELD-WEN Holding Inc.,JELD,0,776425,Buy,2.11,5.97,
2025-06-23,2025-06-23,Bill Miller - Miller Value Partners,MicroStrategy Inc.,MSTR,0,15250,,2.0,288.26,
2025-06-23,2025-06-23,Bill Miller - Miller Value Partners,Stellantis N.V.,STLA,0,390000,,1.99,11.21,
2025-06-23,2025-06-23,Bill Miller - Miller Value Partners,American Axle & Manufacturing Holdings,AXL,0,995690,,1.85,4.07,
2025-06-23,2025-06-23,Bill Miller - Miller Value Partners,Buckle Inc.,BKE,0,105000,,1.83,38.32,
2025-06-23,2025-06-23,Bill Miller - Miller Value Partners,Boise Cascade Company,BCC,0,40000,,1.79,98.1,
2025-06-23,2025-06-23,Bill Miller - Miller Value Partners,Easterly Government Properties Inc.,DEA,0,367000,Buy,1.77,10.6,
2025-06-23,2025-06-23,Bill Miller - Miller Value Partners,Build-A-Bear Workshop Inc.,BBW,0,100000,,1.69,37.17,
2025-06-23,2025-06-23,Bill Miller - Miller Value Partners,Alliance Resource Partners LP,ARLP,0,127000,,1.58,27.28,
2025-06-23,2025-06-23,Bill Miller - Miller Value Partners,Fossil Inc.,FOSL,0,2965160,,1.55,1.15,
2025-06-23,2025-06-23,Bill Miller - Miller Value Partners,AT&T Inc.,T,0,116000,,1.49,28.28,
2025-06-23,2025-06-23,Bill Miller - Miller Value Partners,Carlyle Group,CG,0,70000,,1.39,43.59,
2025-06-23,2025-06-23,Bill Miller - Miller Value Partners,LyondellBasell Industries,LYB,0,38000,Buy,1.22,70.39,
2025-06-23,2025-06-23,Bill Miller - Miller Value Partners,Tutor Perini Corp.,TPC,0,90570,,0.96,23.18,
2025-06-23,2025-06-23,Bill Miller - Miller Value Partners,Semler Scientific Inc,SMLR,0,53000,,0.87,36.21,
2025-06-23,2025-06-23,Bill Miller - Miller Value Partners,TotalEnergies SE,TTE,0,7650,,0.23,64.71,
2025-06-23,2025-06-23,Bill Miller - Miller Value Partners,TechnipFMC plc,FTI,0,8185,,0.12,31.64,
2025-06-23,2025-06-23,Bill Nygren - Oakmark Select Fund,IQVIA Holdings Inc.,IQV,0,2636400,,7.03,176.3,
2025-06-23,2025-06-23,Bill Nygren - Oakmark Select Fund,Alphabet Inc.,GOOGL,0,2839420,,6.64,154.64,
2025-06-23,2025-06-23,Bill Nygren - Oakmark Select Fund,First Citizens Bancshares,FCNCA,0,228643,,6.41,1854.12,
2025-06-23,2025-06-23,Bill Nygren - Oakmark Select Fund,Deere & Co.,DE,0,842700,,5.98,469.35,
2025-06-23,2025-06-23,Bill Nygren - Oakmark Select Fund,Phillips 66,PSX,0,3187000,,5.95,123.48,
2025-06-23,2025-06-23,Bill Nygren - Oakmark Select Fund,Keurig Dr Pepper Inc.,KDP,0,11260000,,5.83,34.22,
2025-06-23,2025-06-23,Bill Nygren - Oakmark Select Fund,Lithia Motors Inc.,LAD,0,1309100,,5.81,293.54,
2025-06-23,2025-06-23,Bill Nygren - Oakmark Select Fund,Charles Schwab Corp.,SCHW,0,4865940,,5.76,78.28,
2025-06-23,2025-06-23,Bill Nygren - Oakmark Select Fund,Paycom Software Inc.,PAYC,0,1560200,,5.16,218.48,
2025-06-23,2025-06-23,Bill Nygren - Oakmark Select Fund,Airbnb Inc.,ABNB,0,2826000,,5.11,119.46,
2025-06-23,2025-06-23,Bill Nygren - Oakmark Select Fund,ConocoPhillips,COP,0,3199912,,5.08,105.02,
2025-06-23,2025-06-23,Bill Nygren - Oakmark Select Fund,Intercontinental Exchange Inc.,ICE,0,1910853,,4.99,172.5,
2025-06-23,2025-06-23,Bill Nygren - Oakmark Select Fund,Capital One Financial,COF,0,1808097,,4.9,179.3,
2025-06-23,2025-06-23,Bill Nygren - Oakmark Select Fund,CBRE Group,CBRE,0,2445352,,4.84,130.78,
2025-06-23,2025-06-23,Bill Nygren - Oakmark Select Fund,Equifax Inc.,EFX,0,1183000,,4.36,243.56,
2025-06-23,2025-06-23,Bill Nygren - Oakmark Select Fund,Ally Financial Inc.,ALLY,0,6047800,,3.34,36.47,
2025-06-23,2025-06-23,Bill Nygren - Oakmark Select Fund,Warner Bros. Discovery Inc.,WBD,0,20021000,,3.25,10.73,
2025-06-23,2025-06-23,Bill Nygren - Oakmark Select Fund,APA Corp.,APA,0,8190800,,2.6,21.02,
2025-06-23,2025-06-23,Bill Nygren - Oakmark Select Fund,Centene Corp.,CNC,0,2334104,,2.14,60.71,
2025-06-23,2025-06-23,Bill Nygren - Oakmark Select Fund,Molina Healthcare Inc.,MOH,0,400436,Buy,2.0,329.39,
2025-06-23,2025-06-23,Bill Nygren - Oakmark Select Fund,Liberty Broadband Corp. CL C,LBRDK,0,1398600,,1.8,85.05,
2025-06-23,2025-06-23,Bill Nygren - Oakmark Select Fund,Charter Communications,CHTR,0,182500,,1.02,368.53,
2025-06-23,2025-06-23,Bruce Berkowitz - Fairholme Capital,St. Joe Co.,JOE,0,20206867,,78.07,46.95,
2025-06-23,2025-06-23,Bruce Berkowitz - Fairholme Capital,Enterprise Products Partners LP,EPD,0,5450400,,15.31,34.14,
2025-06-23,2025-06-23,Bruce Berkowitz - Fairholme Capital,Bank OZK,OZK,0,631602,,2.26,43.45,
2025-06-23,2025-06-23,Bruce Berkowitz - Fairholme Capital,Berkshire Hathaway CL B,BRK.B,0,48717,,2.14,532.59,
2025-06-23,2025-06-23,Bruce Berkowitz - Fairholme Capital,W.R. Berkley Corp.,WRB,0,261450,,1.53,71.16,
2025-06-23,2025-06-23,Bruce Berkowitz - Fairholme Capital,Energy Transfer LP,ET,0,166600,,0.25,18.59,
2025-06-23,2025-06-23,Bruce Berkowitz - Fairholme Capital,Occidental Petroleum,OXY,0,54300,,0.22,49.36,
2025-06-23,2025-06-23,Bruce Berkowitz - Fairholme Capital,Berkshire Hathaway CL A,BRK.A,0,0,,0.07,798000.0,
2025-06-23,2025-06-23,Bruce Berkowitz - Fairholme Capital,Diamondback Energy Inc.,FANG,0,4000,Buy,0.05,160.0,
2025-06-23,2025-06-23,Bruce Berkowitz - Fairholme Capital,Apple Inc.,AAPL,0,2400,,0.04,222.08,
2025-06-23,2025-06-23,Bruce Berkowitz - Fairholme Capital,Core Natural Resources Inc.,CNR,0,5000,Buy,0.03,77.2,
2025-06-23,2025-06-23,Bruce Berkowitz - Fairholme Capital,EOG Resources,EOG,0,2000,,0.02,128.0,
2025-06-23,2025-06-23,Bryan Lawrence - Oakcliff Capital,Interactive Brokers Group Inc.,IBKR,0,1030740,,22.48,41.4,
2025-06-23,2025-06-23,Bryan Lawrence - Oakcliff Capital,TransDigm Group Inc.,TDG,0,21293,,15.52,1383.27,
2025-06-23,2025-06-23,Bryan Lawrence - Oakcliff Capital,Gildan Activewear Inc.,GIL,0,611689,,14.25,44.22,
2025-06-23,2025-06-23,Bryan Lawrence - Oakcliff Capital,Alphabet Inc. CL C,GOOG,0,118161,,9.73,156.23,
2025-06-23,2025-06-23,Bryan Lawrence - Oakcliff Capital,Natural Resource Partners,NRP,0,153930,,8.43,103.9,
2025-06-23,2025-06-23,Bryan Lawrence - Oakcliff Capital,Star Gas Partners LP,SGU,0,1099239,,7.63,13.18,
2025-06-23,2025-06-23,Bryan Lawrence - Oakcliff Capital,Charter Communications,CHTR,0,38239,,7.43,368.52,
2025-06-23,2025-06-23,Bryan Lawrence - Oakcliff Capital,Guidewire Software Inc.,GWRE,0,65683,,6.48,187.35,
2025-06-23,2025-06-23,Bryan Lawrence - Oakcliff Capital,Lennar Corp.,LEN,0,104000,Buy,6.29,114.78,
2025-06-23,2025-06-23,Bryan Lawrence - Oakcliff Capital,LGI Homes Inc.,LGIH,0,49996,,1.75,66.47,
2025-06-23,2025-06-23,Carl Icahn - Icahn Capital Management,Icahn Enterprises,IEP,0,450788170,,54.55,9.06,
2025-06-23,2025-06-23,Carl Icahn - Icahn Capital Management,CVR Energy Inc.,CVI,0,68534270,,17.76,19.4,
2025-06-23,2025-06-23,Carl Icahn - Icahn Capital Management,Southwest Gas Holdings Inc.,SWX,0,7532604,,7.22,71.8,
2025-06-23,2025-06-23,Carl Icahn - Icahn Capital Management,CVR Partners LP,UAN,0,4099155,,4.12,75.17,
2025-06-23,2025-06-23,Carl Icahn - Icahn Capital Management,International Flavors & Fragrances Inc.,IFF,0,3750000,,3.89,77.61,
2025-06-23,2025-06-23,Carl Icahn - Icahn Capital Management,Bausch Health,BHC,0,34721118,,3.0,6.47,
2025-06-23,2025-06-23,Carl Icahn - Icahn Capital Management,Dana Inc.,DAN,0,14286505,,2.54,13.33,
2025-06-23,2025-06-23,Carl Icahn - Icahn Capital Management,JetBlue Airways Corp.,JBLU,0,33621735,,2.16,4.82,
2025-06-23,2025-06-23,Carl Icahn - Icahn Capital Management,American Electric Power,AEP,0,1205300,,1.76,109.27,
2025-06-23,2025-06-23,Carl Icahn - Icahn Capital Management,Caesars Entertainment,CZR,0,2440109,,0.81,25.0,
2025-06-23,2025-06-23,Carl Icahn - Icahn Capital Management,SandRidge Energy Inc.,SD,0,4818832,,0.73,11.42,
2025-06-23,2025-06-23,Carl Icahn - Icahn Capital Management,Bausch + Lomb Corp,BLCO,0,3500000,,0.68,14.5,
2025-06-23,2025-06-23,Carl Icahn - Icahn Capital Management,Centuri Holdings Inc,CTRI,0,2486495,,0.54,16.39,
2025-06-23,2025-06-23,Carl Icahn - Icahn Capital Management,Illumina Inc.,ILMN,0,220000,,0.23,79.34,
2025-06-23,2025-06-23,Charles Bobrinskoy - Ariel Focus Fund,Snap-On Inc.,SNA,0,11559,,6.34,336.97,
2025-06-23,2025-06-23,Charles Bobrinskoy - Ariel Focus Fund,J.M. Smucker Co,SJM,0,32707,,6.31,118.42,
2025-06-23,2025-06-23,Charles Bobrinskoy - Ariel Focus Fund,BOK Financial Corp.,BOKF,0,35784,,6.07,104.15,
2025-06-23,2025-06-23,Charles Bobrinskoy - Ariel Focus Fund,Mohawk Industries,MHK,0,28524,,5.3,114.18,
2025-06-23,2025-06-23,Charles Bobrinskoy - Ariel Focus Fund,Chevron Corp.,CVX,0,17608,,4.8,167.31,
2025-06-23,2025-06-23,Charles Bobrinskoy - Ariel Focus Fund,Bank of America Corp.,BAC,0,68506,,4.66,41.73,
2025-06-23,2025-06-23,Charles Bobrinskoy - Ariel Focus Fund,Resideo Technologies Inc.,REZI,0,159346,,4.59,17.7,
2025-06-23,2025-06-23,Charles Bobrinskoy - Ariel Focus Fund,Lockheed Martin Corp.,LMT,0,6144,,4.47,446.78,
2025-06-23,2025-06-23,Charles Bobrinskoy - Ariel Focus Fund,PHINIA Inc.,PHIN,0,64415,,4.45,42.43,
2025-06-23,2025-06-23,Charles Bobrinskoy - Ariel Focus Fund,Affiliated Managers Group,AMG,0,15533,,4.25,168.03,
2025-06-23,2025-06-23,Charles Bobrinskoy - Ariel Focus Fund,APA Corp.,APA,0,118076,,4.04,21.02,
2025-06-23,2025-06-23,Charles Bobrinskoy - Ariel Focus Fund,Oracle Corp.,ORCL,0,17762,,4.04,139.79,
2025-06-23,2025-06-23,Charles Bobrinskoy - Ariel Focus Fund,Boyd Gaming Corp.,BYD,0,36441,,3.91,65.83,
2025-06-23,2025-06-23,Charles Bobrinskoy - Ariel Focus Fund,Johnson & Johnson,JNJ,0,14285,,3.86,165.84,
2025-06-23,2025-06-23,Charles Bobrinskoy - Ariel Focus Fund,Labcorp Holdings Inc.,LH,0,10134,,3.84,232.78,
2025-06-23,2025-06-23,Charles Bobrinskoy - Ariel Focus Fund,Goldman Sachs Group,GS,0,3934,,3.5,546.26,
2025-06-23,2025-06-23,Charles Bobrinskoy - Ariel Focus Fund,Bio-Rad Laboratories Inc.,BIO,0,8123,,3.22,243.51,
2025-06-23,2025-06-23,Charles Bobrinskoy - Ariel Focus Fund,Barrick Mining Corp.,B,0,100817,,3.19,19.44,
2025-06-23,2025-06-23,Charles Bobrinskoy - Ariel Focus Fund,Schlumberger Ltd.,SLB,0,46079,,3.14,41.8,
2025-06-23,2025-06-23,Charles Bobrinskoy - Ariel Focus Fund,Mosaic Co.,MOS,0,66915,,2.94,27.0,
2025-06-23,2025-06-23,Charles Bobrinskoy - Ariel Focus Fund,First Amer'n Corp.,FAF,0,27413,,2.93,65.63,
2025-06-23,2025-06-23,Charles Bobrinskoy - Ariel Focus Fund,Madison Square Garden Sports Corp.,MSGS,0,8256,,2.62,194.77,
2025-06-23,2025-06-23,Charles Bobrinskoy - Ariel Focus Fund,Core Laboratories Inc.,CLB,0,100965,,2.46,14.99,
2025-06-23,2025-06-23,Charles Bobrinskoy - Ariel Focus Fund,Madison Square Garden Entertainment Corp.,MSGE,0,42412,,2.26,32.75,
2025-06-23,2025-06-23,Charles Bobrinskoy - Ariel Focus Fund,BorgWarner Inc.,BWA,0,31842,,1.48,28.64,
2025-06-23,2025-06-23,Charles Bobrinskoy - Ariel Focus Fund,ZimVie Inc.,ZIMV,0,75617,,1.33,10.8,
2025-06-23,2025-06-23,Chase Coleman - Tiger Global Management,Meta Platforms Inc.,META,0,7465139,,16.18,576.36,
2025-06-23,2025-06-23,Chase Coleman - Tiger Global Management,Microsoft Corp.,MSFT,0,6240865,,8.81,375.39,
2025-06-23,2025-06-23,Chase Coleman - Tiger Global Management,Sea Ltd,SE,0,16041335,,7.87,130.49,
2025-06-23,2025-06-23,Chase Coleman - Tiger Global Management,Alphabet Inc.,GOOGL,0,10308800,,5.99,154.64,
2025-06-23,2025-06-23,Chase Coleman - Tiger Global Management,Amazon.com Inc.,AMZN,0,6588488,,4.71,190.26,
2025-06-23,2025-06-23,Chase Coleman - Tiger Global Management,Take-Two Interactive Software,TTWO,0,5839256,,4.55,207.25,
2025-06-23,2025-06-23,Chase Coleman - Tiger Global Management,NVIDIA Corp.,NVDA,0,10967550,,4.47,108.38,
2025-06-23,2025-06-23,Chase Coleman - Tiger Global Management,Eli Lilly & Co.,LLY,0,1334960,,4.15,825.91,
2025-06-23,2025-06-23,Chase Coleman - Tiger Global Management,Apollo Global Management,APO,0,6209496,,3.2,136.94,
2025-06-23,2025-06-23,Chase Coleman - Tiger Global Management,Flutter Entertainment Plc,FLUT,0,3377392,,2.81,221.55,
2025-06-23,2025-06-23,Chase Coleman - Tiger Global Management,Taiwan Semiconductor S.A.,TSM,0,4241474,,2.65,166.0,
2025-06-23,2025-06-23,Chase Coleman - Tiger Global Management,Spotify Technology S.A.,SPOT,0,1261461,,2.61,550.03,
2025-06-23,2025-06-23,Chase Coleman - Tiger Global Management,Veeva Systems Inc.,VEEV,0,2420500,,2.11,231.63,
2025-06-23,2025-06-23,Chase Coleman - Tiger Global Management,Pinduoduo Inc.,PDD,0,4415681,,1.97,118.35,
2025-06-23,2025-06-23,Chase Coleman - Tiger Global Management,ServiceNow Inc.,NOW,0,579655,,1.74,796.14,
2025-06-23,2025-06-23,Chase Coleman - Tiger Global Management,Applovin Corp.,APP,0,1668240,Buy,1.66,264.97,
2025-06-23,2025-06-23,Chase Coleman - Tiger Global Management,Workday Inc.,WDAY,0,1880237,,1.65,233.53,
2025-06-23,2025-06-23,Chase Coleman - Tiger Global Management,Corpay Inc.,CPAY,0,1247577,,1.64,348.72,
2025-06-23,2025-06-23,Chase Coleman - Tiger Global Management,Grab Holdings Ltd   Cl A,GRAB,0,92923788,,1.58,4.53,
2025-06-23,2025-06-23,Chase Coleman - Tiger Global Management,Sherwin-Williams,SHW,0,1204175,,1.58,349.19,
2025-06-23,2025-06-23,Chase Coleman - Tiger Global Management,DoorDash Inc.,DASH,0,2196013,,1.51,182.77,
2025-06-23,2025-06-23,Chase Coleman - Tiger Global Management,Broadcom Inc.,AVGO,0,2271500,,1.43,167.43,
2025-06-23,2025-06-23,Chase Coleman - Tiger Global Management,Zillow Group Inc.,Z,0,5215000,Buy,1.34,68.56,
2025-06-23,2025-06-23,Chase Coleman - Tiger Global Management,Reddit Inc Cl A,RDDT,0,3249600,,1.28,104.9,
2025-06-23,2025-06-23,Chase Coleman - Tiger Global Management,Zscaler Inc.,ZS,0,1679000,,1.25,198.42,
2025-06-23,2025-06-23,Chase Coleman - Tiger Global Management,Ge Vernova Inc,GEV,0,1055294,Buy,1.21,305.28,
2025-06-23,2025-06-23,Chase Coleman - Tiger Global Management,Lam Research,LRCX,0,4424700,,1.21,72.7,
