ticker,manager_count,managers,company,price,avg_portfolio_pct,max_portfolio_pct,total_shares,market_cap,cap_category,sector,avg_gain_loss_pct,total_position_value,market_cap_display
ET,5,"Bruce Berkowitz - Fairholme Capital, David Abrams - Abrams Capital Management, David Tepper - Appaloosa Management, Leon Cooperman, Samantha McLemore - Patient Capital Management",,18.59,0.0,0,0,0,Unknown,Energy,0.0,0.0,N/A
B,4,"Charles Bobrinskoy - Ariel Focus Fund, First Eagle Investment Management, Harry Burn - Sound Shore, Howard Marks - Oaktree Capital Management",,19.44,0.0,0,0,0,Unknown,Materials,0.0,0.0,N/A
CCCS,4,"Chuck Akre - Akre Capital Management, Polen Capital Management, Torray Funds, Triple Frond Partners",,9.03,0.0,0,0,0,Unknown,Technology,0.0,0.0,N/A
GTX,4,"Howard Marks - Oaktree Capital Management, Kahn Brothers Group, Lee Ainslie - Maverick Capital, Prem Watsa - Fairfax Financial Holdings",,8.37,0.0,0,0,0,Unknown,Consumer Goods,0.0,0.0,N/A
LBTYA,4,"David Einhorn - Greenlight Capital, Francis Chou - Chou Associates, Howard Marks - Oaktree Capital Management, Seth Klarman - Baupost Group",,11.51,0.0,0,0,0,Unknown,Services,0.0,0.0,N/A
NU,4,"Chase Coleman - Tiger Global Management, Lee Ainslie - Maverick Capital, Polen Capital Management, ValueAct Capital",,10.24,0.0,0,0,0,Unknown,Financials,0.0,0.0,N/A
WRBY,4,"First Eagle Investment Management, Lee Ainslie - Maverick Capital, Polen Capital Management, Thomas Russo - Gardner Russo & Quinn",,18.23,0.0,0,0,0,Unknown,Health Care,0.0,0.0,N/A
AVTR,3,"Dodge & Cox, Harry Burn - Sound Shore, Robert Olstein - Olstein Capital Management",,16.21,0.0,0,0,0,Unknown,Materials,0.0,0.0,N/A
CNH,3,"David Einhorn - Greenlight Capital, Mason Hawkins - Longleaf Partners, Tweedy Browne Co. - Tweedy Browne Value Fund",,12.28,0.0,0,0,0,Unknown,Industrial Goods,0.0,0.0,N/A
CPRI,3,"David Einhorn - Greenlight Capital, Lee Ainslie - Maverick Capital, Prem Watsa - Fairfax Financial Holdings",,19.73,0.0,0,0,0,Unknown,Services,0.0,0.0,N/A
