ticker,manager_count,managers,company,price,avg_portfolio_pct,max_portfolio_pct,total_shares,market_cap,cap_category,sector,avg_gain_loss_pct,total_position_value,market_cap_display
BAC,15,"Charles Bobrinskoy - Ariel Focus Fund, Christopher Davis - Davis Advisors, David Katz - Matrix Asset Advisors, Dodge & Cox, Francis Chou - Chou Associates, Francois Rochon - Giverny Capital, Glenn Greenberg - Brave Warrior Advisors, Guy Spier - Aquamarine Capital, Kahn Brothers Group, Lee Ainslie - Maverick Capital",,41.73,12.8,30.28,0,0,Unknown,Financials,0.0,0.0,N/A
CMCSA,10,"David Katz - Matrix Asset Advisors, Dodge & Cox, First Eagle Investment Management, Glenn Greenberg - Brave Warrior Advisors, Hillman Value Fund, Robert Olstein - Olstein Capital Management, Steven Romick - FPA Crescent Fund, Thomas Gayner - Markel Group, Thomas Russo - Gardner Russo & Quinn, Yacktman Asset Management",,36.74,6.91,20.37,0,0,Unknown,Consumer Discretionary,0.0,0.0,N/A
KHC,7,"Bill & Melinda Gates Foundation Trust, First Eagle Investment Management, Hillman Value Fund, Mairs & Power Growth Fund, Mason Hawkins - Longleaf Partners, Prem Watsa - Fairfax Financial Holdings, Warren Buffett - Berkshire Hathaway",,30.47,15.38,19.47,0,0,Unknown,Consumer Staples,0.0,0.0,N/A
USB,7,"Christopher Davis - Davis Advisors, David Katz - Matrix Asset Advisors, First Eagle Investment Management, Hillman Value Fund, Mairs & Power Growth Fund, Robert Olstein - Olstein Capital Management, Viking Global Investors",,43.01,12.15,42.6,0,0,Unknown,Financials,0.0,0.0,N/A
OXY,7,"Bruce Berkowitz - Fairholme Capital, Dodge & Cox, Duan Yongping - H&H International Investment, Francis Chou - Chou Associates, Li Lu - Himalaya Capital Management, Prem Watsa - Fairfax Financial Holdings, Warren Buffett - Berkshire Hathaway",,49.38,10.99,13.29,0,0,Unknown,Energy,0.0,0.0,N/A
GM,7,"Francis Chou - Chou Associates, Greenhaven Associates, Harry Burn - Sound Shore, Prem Watsa - Fairfax Financial Holdings, Robert Olstein - Olstein Capital Management, Samantha McLemore - Patient Capital Management, Viking Global Investors",,47.03,2.84,4.04,0,0,Unknown,Consumer Discretionary,0.0,0.0,N/A
PFE,6,"David Katz - Matrix Asset Advisors, Hillman Value Fund, Kahn Brothers Group, Prem Watsa - Fairfax Financial Holdings, Richard Pzena - Hancock Classic Value, Torray Funds",,25.6,5.26,8.7,0,0,Unknown,Health Care,0.0,0.0,N/A
CPNG,5,"Bill & Melinda Gates Foundation Trust, Chase Coleman - Tiger Global Management, Christopher Davis - Davis Advisors, David Abrams - Abrams Capital Management, Lee Ainslie - Maverick Capital",,21.93,30.11,30.28,0,0,Unknown,Consumer Cyclical,0.0,0.0,N/A
JD,5,"Chase Coleman - Tiger Global Management, Christopher Davis - Davis Advisors, David Tepper - Appaloosa Management, Howard Marks - Oaktree Capital Management, Samantha McLemore - Patient Capital Management",,41.12,22.24,23.18,0,0,Unknown,Technology,0.0,0.0,N/A
SLB,5,"Charles Bobrinskoy - Ariel Focus Fund, First Eagle Investment Management, John Rogers - Ariel Appreciation Fund, Robert Olstein - Olstein Capital Management, Torray Funds",,41.8,16.62,20.69,0,0,Unknown,Energy,0.0,0.0,N/A
IAC,5,"Christopher Davis - Davis Advisors, FPA Queens Road Small Cap Value Fund, Lee Ainslie - Maverick Capital, Mason Hawkins - Longleaf Partners, Samantha McLemore - Patient Capital Management",,45.94,12.69,19.83,0,0,Unknown,Consumer Discretionary,0.0,0.0,N/A
BF.B,5,"Hillman Value Fund, Lindsell Train, Terry Smith - Fundsmith, Thomas Gayner - Markel Group, Thomas Russo - Gardner Russo & Quinn",,33.56,12.3,21.57,0,0,Unknown,Consumer Staples,0.0,0.0,N/A
BAX,5,"Dodge & Cox, Harry Burn - Sound Shore, Hillman Value Fund, Richard Pzena - Hancock Classic Value, Robert Olstein - Olstein Capital Management",,34.28,11.47,13.74,0,0,Unknown,Health Care,0.0,0.0,N/A
VZ,5,"Bill Miller - Miller Value Partners, Hillman Value Fund, Kahn Brothers Group, Mairs & Power Growth Fund, Yacktman Asset Management",,44.68,5.6,6.63,0,0,Unknown,Communication Services,0.0,0.0,N/A
ET,5,"Bruce Berkowitz - Fairholme Capital, David Abrams - Abrams Capital Management, David Tepper - Appaloosa Management, Leon Cooperman, Samantha McLemore - Patient Capital Management",,18.59,4.94,5.16,0,0,Unknown,Energy,0.0,0.0,N/A
